run,influent_PHO,mu_PHO,d_PHO,flag,o2_max_ratio,o2_out_final,o2_min_final,pho_biofilm_mass,phib_peak
baseline,0.01,5.5,0.4,OK,1.00529242445855,0.00744373433271306,0.00530567720551309,0.357179843829676,0.388192561659566
influent_PHO_x0.1,0.001,5.5,0.4,OK,1.01242259953167,0.00897335890252094,0.00785654783308966,0.0427738462397376,0.142302298873483
influent_PHO_x0.3,0.003,5.5,0.4,OK,1.01228190144398,0.00861390733464634,0.0073203026313362,0.119183097316962,0.196275979815661
influent_PHO_x3,0.03,5.5,0.4,OK,1.00173298288171,0.00478618185933043,0.00245234469501106,0.868123747264883,0.633247386299292
mu_PHO_x0.25,0.01,1.375,0.4,OK,1.00212451395802,0.00745535224396823,0.00530795742393307,0.355621729094125,0.389300082228144
mu_PHO_x0.5,0.01,2.75,0.4,OK,1.00252896122747,0.00745110770796834,0.00530714477362236,0.356188935750412,0.388893071416752
mu_PHO_x2,0.01,11,0.4,OK,1.01895147656571,0.00743226237316515,0.00530327245507889,0.358732691022221,0.387117419414385
d_PHO_x0.5,0.01,5.5,0.2,OK,1.00255619571999,0.00647251826203457,0.00472694481208112,0.427964857555288,0.408493985997792
d_PHO_x2,0.01,5.5,0.8,OK,1.07141437509578,0.00877509829808455,0.00614053888481746,0.256497903526747,0.358725517541139
d_PHO_x4,0.01,5.5,1.6,OK,1.17158839931453,0.0100059906720819,0.00699006107363856,0.149923683395187,0.326854721255477
suppressed_mild,0.003,2.75,0.8,OK,1.02202281019711,0.00904504122860806,0.00763510445837091,0.0849494739669835,0.185343914518298
suppressed_strong,0.001,1.375,1.6,OK,1.02176764158543,0.00924950305846916,0.00798428753120263,0.0173886246661825,0.142055193165589
