t,dL_plus,dL_minus,s
0.0,0.0,0.0,0.0
0.025425087979628308,0.0,0.0,0.0
0.050850087979647,0.0,0.0,0.0
0.07627208797967241,0.0,0.0,0.0
0.10169708797969784,0.0,0.0,0.0
0.12711908797972327,0.0,0.0,0.0
0.1525440879797487,0.0,0.0,0.0
0.1779667031303553,0.0,0.0,0.0
0.20338992662549557,0.0,0.0,0.0
0.22881510579376993,0.0,0.0,0.0
0.25423790601280516,0.0,0.0,0.0
0.2796616989218588,3.864976294565281e-8,-4.297121547480742e-9,3.097962863993745e-8
0.30508597559435513,3.488556716835234e-7,-1.5173235023979714e-7,3.610979283785951e-7
0.3305098228645393,2.0560839558703137e-7,-2.029063614905624e-7,2.9468110708290206e-7
0.35593254580124956,-6.688470526317047e-7,3.6368241085327213e-7,-7.448125682707591e-7
0.3813564260148235,-1.2625250845887948e-6,5.501269095820049e-7,-1.3075520214238516e-6
0.4067800911744741,-1.7213071311084072e-6,7.642187364043096e-7,-1.7929279215309177e-6
0.4322036651303589,-3.9520878473697785e-6,1.2813268115974275e-6,-3.775110687703797e-6
0.4576272264963948,-2.8279669285202758e-6,5.626443568162998e-6,-6.098568048602278e-6
0.4830529928673176,6.5256905916744046e-6,1.5042499545980803e-7,4.59878203000441e-6
0.5084745921930333,-2.9175960830629677e-6,1.2177133271840113e-5,-1.0888545591939869e-5
0.5339000417964259,5.242937093363764e-6,1.4930485559006001e-6,2.7049727984422373e-6
0.5593236624757432,-5.004249141515871e-6,-4.439225982588724e-6,-4.0757805468580587e-7
0.5847467148487642,-2.3705840697108016e-6,4.806705171223058e-6,-5.177319797460496e-6
0.6101710042777548,-3.8145343448370284e-6,1.8749321646360784e-6,-4.104082559260346e-6
0.6355950084844121,-3.583432619747029e-6,2.316711921634962e-6,-4.2560546351899426e-6
0.6610172615275282,-4.278805459057011e-6,1.630846395261898e-6,-4.262912711803079e-6
0.6864408226484578,-4.432590416270088e-6,1.4435731576778466e-6,-4.238756023793527e-6
0.7118644732438522,-4.493193753507541e-6,1.5504913115638175e-6,-4.35959723603657e-6
0.7372886561517362,-4.459315543492437e-6,1.4823438871935934e-6,-4.286001297650939e-6
0.7627131951029337,-4.375759220520692e-6,1.211036444681568e-6,-4.0300212003236295e-6
0.7881357123784426,-4.288490334181105e-6,1.3798290057209783e-6,-4.088828100925869e-6
0.8135604741655701,-4.206308864995734e-6,1.3361724060523272e-6,-3.998055121980498e-6
0.838983499374878,-4.12991819098707e-6,1.2968262235180106e-6,-3.9145686274891806e-6
0.864407617911052,-4.057702791326889e-6,1.2617456592867171e-6,-3.837170949982365e-6
0.8898309625762344,-3.994426145847996e-6,1.2454969886555034e-6,-3.7798055603937755e-6
0.9152559625760246,-3.947487350108858e-6,1.230270452623472e-6,-3.734962752463034e-6
0.9406809625758148,-3.90829988305974e-6,1.2135108220512336e-6,-3.694605452317804e-6
0.966102962575605,-3.871383560616337e-6,1.1990083659263462e-6,-3.6575146438932835e-6
0.9915279625753952,-3.834661888024726e-6,1.1873166732012663e-6,-3.622591782865716e-6
1.0169499625751854,-3.799606249188514e-6,1.1771070065336176e-6,-3.5899397669783436e-6
1.0423749625749756,-3.7661400500432762e-6,1.1679018181443013e-6,-3.5591588673863674e-6
1.0677969625747659,-3.7339864575880455e-6,1.1594788402735645e-6,-3.5298890589935897e-6
1.093221962574556,-3.702948613515389e-6,1.1516869706795774e-6,-3.501879341320587e-6
1.1186469625743463,-3.6728421664022903e-6,1.1443942047328903e-6,-3.4749015117133356e-6
1.1440689625741365,-3.6434987238376237e-6,1.137485823532458e-6,-3.4487513485287913e-6
1.1694939625739267,-3.6147272268749475e-6,1.1308508682805751e-6,-3.423210992016083e-6
1.1949165657592757,-3.6097806672685806e-6,1.1242226207741624e-6,-3.4148615336056563e-6
1.2203393597992933,-4.8666297862709484e-6,1.5263075363591838e-6,-4.6115294860362295e-6
1.24576437405913,-6.43986985182643e-6,2.0247314020949148e-6,-6.105919126067412e-6
1.271187542604066,-6.605685888283475e-6,2.067033051389444e-6,-6.2560443026449545e-6
1.2966102624401448,-6.658779009738325e-6,1.954900289424799e-6,-6.21345620435528e-6
1.3220345018406752,-6.33139649397485e-6,1.8527845040416935e-6,-5.903638669788078e-6
1.3474582905751167,-6.087543792832051e-6,1.7732494321798242e-6,-5.670363701589097e-6
1.372882481221568,-5.557214407980737e-6,2.0439018382223395e-6,-5.483046356808856e-6
1.3983063103576572,-5.397947324903285e-6,1.9841441467605136e-6,-5.325053378779036e-6
1.4237295575674014,-5.589234813641042e-6,1.6026350695419467e-6,-5.1878375075933935e-6
1.4491544421720666,-5.137527661291941e-6,1.8856517141063733e-6,-5.066153028080398e-6
1.4745764719238559,-5.443546472250205e-6,1.5416871166351598e-6,-5.038780929067966e-6
1.500001471923646,-5.352480341835886e-6,1.5183122838990926e-6,-4.956229224062156e-6
