tag,cover,Ihat_surface,Ihat_z0,Ihat_bed1,HET_sup_bio_species,HET_sup_bio_frac,HET_sup_bio_monod,HET_sup_flo_species,HET_sup_flo_frac,HET_sup_flo_monod,HET_top2_bio_species,HET_top2_bio_frac,HET_top2_bio_monod,HET_top2_flo_species,HET_top2_flo_frac,HET_top2_flo_monod,PHO_sup_bio_species,PHO_sup_bio_frac,PHO_sup_bio_monod,PHO_sup_flo_species,PHO_sup_flo_frac,PHO_sup_flo_monod,PHO_top2_bio_species,PHO_top2_bio_frac,PHO_top2_bio_monod,PHO_top2_flo_species,PHO_top2_flo_frac,PHO_top2_flo_monod
cov1_0p2d_n30,1,0.00607034796848893,0.000466302473796532,1.06866226449074e-29,DOM,1,0,DOM,0.596969696969697,0.0244145690122537,DOM,0.727272727272727,0.0107710077618112,DOM,0.727272727272727,0.0149417355179878,IC,1,0,HPO4,1,0.0443792093887752,IC,1,0.438037882558076,HPO4,1,0.0722491240350621
cov0_0p2d_n30,0,0,0,0,DOM,1,0,DOM,0.596969696969697,0.0244145690122537,DOM,0.727272727272727,0.0107710106404446,DOM,0.727272727272727,0.0149417355179878,IC,1,0,HPO4,1,0.0443792140397436,IC,1,0.438049467533579,HPO4,1,0.0722515475057326
