t,dL_plus,dL_minus,s
0.0,0.0,0.0,0.0
0.025423790646965764,0.0062626795680991165,-0.002254991522629979,0.006144200921259077
0.05084774591908437,0.002014249750097008,-0.000494141648594848,0.0018094219157506358
0.07627166776779763,0.0007266532689209626,-0.0003392671636968103,0.0007688990610599397
0.10169667051549663,0.00012863563561493763,-0.00013170478551094433,0.0001877959172506271
0.12712032557337902,7.77484146727847e-5,-3.373833463493625e-5,8.042069017554006e-5
0.15254296781589288,7.296256588062988e-5,4.550267774694472e-5,1.9808122216916638e-5
0.1779679678159183,-1.4572054510997301e-5,7.262440718136531e-6,-1.5750258993692557e-5
0.20339052453970502,-4.371041169209944e-6,3.9229379588945346e-6,-5.9828412786764496e-6
0.2288140507583049,-1.9855846192934345e-6,1.8114292951731947e-6,-2.7389665722936983e-6
0.25423881895753137,-3.798475653717104e-6,1.031072828748536e-6,-3.483782822692999e-6
0.2796617062101757,-1.5444859925058119e-6,7.530177283839035e-7,-1.6572986122757669e-6
0.30508603083969743,-1.3592148096399498e-6,7.614758424853707e-7,-1.5297549435403908e-6
0.3305092397953505,-1.5873836878600722e-6,9.124246835284094e-7,-1.8032305702874395e-6
0.35593315725948055,-2.1012789027559375e-6,1.155196486669896e-6,-2.349050447550803e-6
0.3813578622297206,-2.627091808125176e-6,1.5176577210160302e-6,-2.989804795709442e-6
0.4067802681608073,-3.3474273335235005e-6,1.9972378272857527e-6,-3.855360961355762e-6
0.43220419749101674,-4.164499667190513e-6,2.400566062144699e-6,-4.735693885410998e-6
0.45762895216580146,-4.909537135749931e-6,3.0374364218196948e-6,-5.732529670790711e-6
0.4830526825186402,-5.766392670140258e-6,3.6019851596021113e-6,-6.757856118071713e-6
0.5084760909909113,-6.858319859429085e-6,4.055229844646124e-6,-7.87246201828226e-6
0.5338991706488193,-7.985695795402481e-6,4.697557597570234e-6,-9.149033386189927e-6
0.5593239380931175,-8.908144126684725e-6,5.513270296499118e-6,-1.0402851535465951e-5
0.5847469099629384,-1.0166009032197554e-5,6.1727494004432115e-6,-1.1785922882526782e-5
0.6101700346284564,-1.1364813009395736e-5,6.975203207200409e-6,-1.3229525222753213e-5
0.6355948339535104,-1.2618914473176701e-5,7.598005039285982e-6,-1.4583424761340617e-5
0.6610175948367876,-1.3992194899288546e-5,8.352055598070951e-6,-1.611796969246065e-5
0.686441032702798,-1.5268990729379317e-5,9.35942757940289e-6,-1.776564847950952e-5
0.711866323405219,-1.6579925963183806e-5,1.0047346529484802e-5,-1.9207516988786055e-5
0.7372894880593243,-1.799951008554096e-5,1.098912602385399e-5,-2.0910880778579416e-5
0.7627123312835256,-1.9637054737078885e-5,1.1752625218387769e-5,-2.264286780342172e-5
0.7881363518836813,-2.1021344522684227e-5,1.2768271893191796e-5,-2.4374056018362323e-5
0.8135608242321345,-2.25209484146921e-5,1.3785858697393238e-5,-2.618982528555883e-5
0.8389834571381425,-2.7640698258779572e-5,1.6499035401060236e-5,-3.1840087428605276e-5
0.864407083639496,-3.124006858111483e-5,1.905924979030138e-5,-3.628328858726865e-5
0.8898306475795255,-3.4056879423011166e-5,2.0090150137597185e-5,-3.905882551297889e-5
0.9152556475793157,-3.6267721510788165e-5,2.2035913521914474e-5,-4.2057182563740066e-5
0.9406806475791059,-4.146058802569075e-5,2.4689460121560258e-5,-4.77171732083026e-5
0.9661026475788961,-4.621241285478195e-5,2.7385919383185464e-5,-5.308997446870696e-5
0.9915276475786863,-5.035404087369577e-5,2.9879425565176865e-5,-5.787621207234632e-5
1.0169496475784765,-5.494635401162573e-5,3.1954099014810944e-5,-6.268542631612226e-5
1.0423746475782667,-5.870818967282365e-5,3.494676576461242e-5,-6.755776988213294e-5
1.067796647578057,-6.339408597225149e-5,3.7084737202111584e-5,-7.248014995400634e-5
1.0932216475778471,-6.723914270133358e-5,4.0123651297852e-5,-7.74458852393042e-5
1.1186466475776373,-7.15549617309047e-5,4.2743115416910005e-5,-8.244863454214822e-5
1.1440686475774275,-7.589753461756388e-5,4.537913561561413e-5,-8.748262536046605e-5
1.1694936475772177,-8.026359617231693e-5,4.8029727297213554e-5,-9.254407077432764e-5
1.1949159799816786,-8.485908766822647e-5,5.0427000860303606e-5,-9.758828451068781e-5
1.2203400632340686,-9.165456638614289e-5,5.440057618948113e-5,-0.00010535651494509164
1.2457635527534217,-0.00010014325453125417,5.84377474608655e-5,-0.00011439201257661694
1.2711881961637508,-0.00010492134971037959,6.118488693615531e-5,-0.00011982032193534225
1.2966117389861391,-0.00010967388961799496,6.391437541791722e-5,-0.00012521746456191477
1.3220345844665817,-0.00011309633674680408,6.566530973958762e-5,-0.00012894927044353167
1.3474580193510015,-0.00011600887136264948,6.761343319222624e-5,-0.00013245549408896106
1.3728822871472326,-0.00011886785469614192,6.942427725881162e-5,-0.0001358240625049109
1.398306860720847,-0.00012192366588362202,7.107196790781534e-5,-0.00013921692189206456
1.4237294867233834,-0.00012498362348328795,7.303662001983957e-5,-0.00014284141164879353
1.44915334019834,-0.00012793616177900202,7.505536172741634e-5,-0.0001464274321526026
1.4745766487161245,-0.00013106024608083855,7.689527593424117e-5,-0.00015000820016831558
1.500001049560118,-0.00013403804419193088,7.877156751059933e-5,-0.00015350968572837312
