run,influent_PHO,mu_PHO,d_PHO,flag,o2_max_ratio,o2_out_final,o2_min_final,pho_biofilm_mass,phib_peak
baseline,0.01,5.5,0.4,OK,1.2558214992725,0.0104662688676493,0.00710993797845269,0.296792692168166,0.335067355518025
influent_PHO_x0.1,0.001,5.5,0.4,OK,1.0513247893682,0.00929603781847058,0.00799815967650841,0.0382405059984643,0.142417552026173
influent_PHO_x0.3,0.003,5.5,0.4,OK,1.09621115593907,0.00956070905792879,0.00789000195952359,0.10107753579353,0.177287559135019
influent_PHO_x3,0.03,5.5,0.4,OK,1.74008890316395,0.013177660293141,0.00639889133124025,0.72118042455324,0.534402848277888
mu_PHO_x0.25,0.01,1.375,0.4,OK,1.19319796403481,0.0103205924581214,0.00705399410157229,0.293767685748734,0.334213925194528
mu_PHO_x0.5,0.01,2.75,0.4,OK,1.2358622617718,0.010387303809467,0.00707951778318445,0.295245230127192,0.334126990535913
mu_PHO_x2,0.01,11,0.4,OK,1.27197720158028,0.0106101256830215,0.00716469180861758,0.299360925200578,0.33713890171623
d_PHO_x0.5,0.01,5.5,0.2,OK,1.21273912377719,0.0100330569715996,0.00679677246608902,0.352543153382337,0.347107574695204
d_PHO_x2,0.01,5.5,0.8,OK,1.30241275314756,0.0109511703676007,0.00749801493270733,0.217975479312387,0.318449571090529
d_PHO_x4,0.01,5.5,1.6,OK,1.32681262363267,0.0112579201519887,0.00781299850708223,0.133400097434861,0.301517619436936
suppressed_mild,0.003,2.75,0.8,OK,1.09641678906015,0.00967537941573898,0.00796697071378648,0.0737935164355505,0.170409048709661
suppressed_strong,0.001,1.375,1.6,OK,1.03488985517292,0.00934203945814018,0.00802958505111926,0.0157905998832874,0.142076023647661
