0.0,5.626500515267441e-7,5.62333042239941e-7,5.62952799741385e-7,5.629528666934195e-7,5.629528667680361e-7,5.629528698509077e-7,5.629529889291492e-7,5.629542246592606e-7,5.6301301178464e-7,5.645046387931429e-7,5.872573633193445e-7,7.594036732074779e-7,8.839632345658884e-7,9.684797833649994e-7,1.039611672782658e-6,1.1028311816732796e-6,1.160698952899707e-6,1.1253196119431489e-6,1.2656170494395382e-6,1.3161196109553197e-6,1.2828553370636218e-6,1.4053472768374455e-6,1.4521990927415542e-6,1.493594606763471e-6,1.5335978757904446e-6,1.5723698372754887e-6,1.6099838544108986e-6,1.4716259596043828e-6,1.684066540185025e-6
0.0,9.717855274723753e-7,9.71245695302224e-7,9.72608415403272e-7,9.726085988129573e-7,9.726085990974295e-7,9.726086119899615e-7,9.72609110950287e-7,9.726187856433523e-7,9.728859559786017e-7,9.790516141221757e-7,1.0724303628072399e-6,1.344296505268117e-6,1.550178694740867e-6,1.6907046477506762e-6,1.8100988131950396e-6,1.9167300229946027e-6,2.01461701283752e-6,1.9671787169614746e-6,2.191650015935099e-6,2.2783117738342056e-6,2.2499248999060394e-6,2.428528081744284e-6,2.5097404266411122e-6,2.580215928400354e-6,2.6483352867742296e-6,2.7143718177790716e-6,2.778449680567778e-6,2.5111766557120374e-6,2.9044972318023567e-6
0.0,1.3778836540203897e-6,1.3773823993426398e-6,1.3798177272719318e-6,1.3798181639627574e-6,1.3798181650877164e-6,1.3798182203176174e-6,1.3798203599908494e-6,1.3798697870701738e-6,1.381105810051481e-6,1.407047694437567e-6,1.6170664350645139e-6,1.95159634358327e-6,2.2336962695657572e-6,2.425426262714216e-6,2.589744594656313e-6,2.7371845809144663e-6,2.872913626407985e-6,2.823008882935135e-6,3.117247434258916e-6,3.2396126534932153e-6,3.230201435657201e-6,3.446031018921697e-6,3.5621797876713414e-6,3.660514188754169e-6,3.755578156756389e-6,3.847754955056928e-6,3.9372176870850985e-6,3.5186766872276525e-6,4.112873195214034e-6
0.0,1.7804488375953932e-6,1.7807539230066992e-6,1.7845963708219773e-6,1.7845973238416195e-6,1.7845973284653456e-6,1.7845975661492746e-6,1.7846067444314137e-6,1.7848305145500801e-6,1.7904192382490257e-6,1.898525601488222e-6,2.2008123771843005e-6,2.577003186157022e-6,2.9332000263540124e-6,3.172100537013705e-6,3.3783778299392156e-6,3.5642400694759593e-6,3.7357716703927016e-6,3.689585348128728e-6,4.042351265019639e-6,4.200406265158879e-6,4.215116422313408e-6,4.4576552838450215e-6,4.6099637111806925e-6,4.734944205758421e-6,4.8557836478388885e-6,4.972976301203039e-6,5.086743145533579e-6,4.502953729490883e-6,5.309541921659035e-6
0.0,2.1786479696023667e-6,2.181410668588777e-6,2.1869597845999016e-6,2.186961736869747e-6,2.186961756466258e-6,2.18696278185166e-6,2.1870019143339927e-6,2.1879827824769317e-6,2.2126380431305013e-6,2.445926096626342e-6,2.8160368133238235e-6,3.21742929339897e-6,3.647741444275093e-6,3.930360796050594e-6,4.175930065150188e-6,4.398007462121849e-6,4.603419494354772e-6,4.56453677506541e-6,4.966829409095287e-6,5.161101747301115e-6,5.200899421295349e-6,5.463089642499301e-6,5.6535667814723615e-6,5.803992558060347e-6,5.949443362509063e-6,6.090529963347e-6,6.227520770132887e-6,5.474353163884128e-6,6.494856463011065e-6
0.0,2.5711549972392243e-6,2.5794371089812226e-6,2.5869231566425748e-6,2.5869269590689674e-6,2.5869270438716546e-6,2.586931485843749e-6,2.587096890432541e-6,2.5913895991722856e-6,2.697005647102894e-6,3.0320577822335017e-6,3.458231531894888e-6,3.870589314889115e-6,4.376652043565589e-6,4.6999934153327826e-6,4.982432042446756e-6,5.238670731812209e-6,5.47614497414944e-6,5.446243127575379e-6,5.890492020783897e-6,6.12215646701466e-6,6.1863929970711005e-6,6.461942380607875e-6,6.693515456245981e-6,6.8682013521985636e-6,7.037106432113206e-6,7.200969417549241e-6,7.360106213642158e-6,6.442849919289213e-6,7.66918521161023e-6
0.0,2.955962873073557e-6,2.974937844060888e-6,2.9845013487283918e-6,2.9845084457478814e-6,2.9845088175523914e-6,2.9845281783871706e-6,2.9852206019298667e-6,3.0041236152177272e-6,3.2386640931597094e-6,3.6500692179637003e-6,4.124240231790671e-6,4.5348281627657666e-6,5.119488958545696e-6,5.4809242246704335e-6,5.798014860910848e-6,6.086495592770757e-6,6.354308800579252e-6,6.333708887311678e-6,6.813113145498988e-6,7.08409438737923e-6,7.17159742580099e-6,7.453781818638949e-6,7.730406468716713e-6,7.928186953425e-6,8.119397899298516e-6,8.304925497174746e-6,8.48513364909887e-6,7.41651905041598e-6,8.832917595923162e-6
0.0,3.330177147378372e-6,3.3680194236149083e-6,3.379708794467894e-6,3.3797215569225687e-6,3.379723199441298e-6,3.379808162405666e-6,3.382682519661315e-6,3.465130207592468e-6,3.819041355736787e-6,4.296004539988358e-6,4.8117382590892375e-6,5.209046957933909e-6,5.8760000682877184e-6,6.273211586437324e-6,6.622913791897574e-6,6.941838877165596e-6,7.238357083605067e-6,7.2264422677769055e-6,7.734462356723565e-6,8.047521725250404e-6,8.15698429161842e-6,8.438192717708836e-6,8.764922580192176e-6,8.984656497498832e-6,9.197035135606196e-6,9.403122678960563e-6,9.60333192803172e-6,8.400748640205722e-6,9.986468641494611e-6
0.0,3.689818070732052e-6,3.758772936700203e-6,3.7725593691396164e-6,3.77258157981095e-6,3.7725888596207867e-6,3.772963707509241e-6,3.7848622082469902e-6,4.004046190197908e-6,4.4303891555539965e-6,4.967146072798111e-6,5.519063028823245e-6,5.8926687056469254e-6,6.646101631428986e-6,7.0770442131528695e-6,7.457474126258334e-6,7.80515857477963e-6,8.128833742604753e-6,8.124353454998528e-6,8.654349787691264e-6,9.013141227276354e-6,9.143242642272325e-6,9.41485061518086e-6,9.7978471979692e-6,1.0038423684015963e-5,1.0270843726789605e-5,1.0496395054368202e-5,1.07155406879041e-5,9.39821681706141e-6,1.1130284860487551e-5
0.0,4.029670918924894e-6,4.147261209609546e-6,4.163066232670753e-6,4.163103829081893e-6,4.163136069305251e-6,4.164792598903163e-6,4.214312423017516e-6,4.590722164315272e-6,5.067911320805248e-6,5.661486085548808e-6,6.24514236117448e-6,6.58561412022196e-6,7.429864444643321e-6,7.892742667659524e-6,8.302158802235414e-6,8.677024632910729e-6,9.02639300743067e-6,9.027675343581261e-6,9.572685942253208e-6,9.98176592573795e-6,1.0131206900892525e-5,1.0383612617812553e-5,1.0830078718729673e-5,1.1090424733601126e-5,1.1341773722813819e-5,1.1585702944790059e-5,1.1822727453512202e-5,1.0409405211474877e-5,1.2264854071824785e-5
