label,group,flag,attachedHET,attPAT,PATeffluent,O2above,maxphib,d_attHET,d_attPAT,d_PATeff,d_O2
attachment ×0.5,attach/detach,OK,0.00021613758425469758,6.783412921535251e-7,0.0010031984832559106,0.009999786008234429,0.4063060277722513,-0.36925584774833303,-0.5342613790649801,-0.013070288156672504,2.1855696074830695e-6
attachment ×2,attach/detach,OK,0.0005895911258462044,3.569169936963297e-6,0.0010411570610216723,0.009999727359383082,0.48596175662782054,0.7205760679213641,1.450536777802108,0.024272719076313187,-3.6794538519654207e-6
sand_pathogen=0.1,attach/detach,OK,0.00034554266319982785,3.671764085875678e-6,0.0010109270204830315,0.00999976383956485,0.4338195031586733,0.008380911252929132,1.5209763308459172,-0.005467083859774547,-3.134963576703044e-8
sand_pathogen=0.5,attach/detach,OK,0.0003568697607413632,1.2386062813024292e-5,0.0009890385588061216,0.009999762591572542,0.43539578073638247,0.04143624756079002,7.504078817078524,-0.027000582500417664,-1.5615181003354987e-7
detachment ×0.5,attach/detach,OK,0.0003823748739511895,1.6177938443045421e-6,0.0010197767536005006,0.009999718135828738,0.49968815989733567,0.11586662053404147,0.11075218731197829,0.003239134003680997,-4.601831040340408e-6
detachment ×2,attach/detach,OK,0.00028374474481408915,1.1878829203833046e-6,0.001011933160913146,0.009999851377001545,0.3355974135323795,-0.17196104906618778,-0.18441799198865225,-0.004477259910336205,8.722600492988552e-6
zeta_0 ×0.5,biofilm vel.,OK,0.00034263371331190093,1.456284371916317e-6,0.0010165212854339944,0.009999896750499313,0.43352926413332993,-0.00010814046535465592,-0.00013771399305722998,3.645944514553237e-5,1.3260057284324967e-5
zeta_0 ×2,biofilm vel.,OK,0.0003427425116211296,1.4568744785955105e-6,0.0010164142040522393,0.009999506354373924,0.43321563094294474,0.00020936052623595768,0.00026744410973143724,-6.888540834385728e-5,-2.578047601361594e-5
light_sand ×0.5,light,OK,0.0003426707691374195,1.456485711445055e-6,0.001016484274957862,0.00999976415060804,0.4334317191344841,-2.191609770021162e-9,5.226078084448498e-7,4.916427473447782e-8,-2.445832169920184e-10
light_sand ×2,light,OK,0.00034267077020232666,1.4564846121016023e-6,0.0010164842027365782,0.009999764154145606,0.4334217286836422,9.160587622835328e-10,-2.3218437286254983e-7,-2.188580364624715e-8,1.091817337871396e-10
light_water ×0.5,light,OK,0.00034267076982567196,1.456485015316033e-6,0.001016484229250729,0.00999976415284437,0.4334254142181914,-1.8311496642366636e-10,4.465640783702422e-8,4.198369869879932e-9,-2.0944851337476206e-11
light_water ×2,light,OK,0.0003426707699873239,1.4564848470620542e-6,0.0010164842182110124,0.009999764153386348,0.43342388130382536,2.8862629672816766e-10,-7.086416705682865e-8,-6.662316794541318e-9,3.3254219018642545e-11
growth ×0.5,reaction rate,OK,0.00034265894627329147,1.4564688819627699e-6,0.0010164836000473923,0.009999764154882702,0.4334215784270641,-3.4504300242727436e-5,-1.1032253971543435e-5,-6.148012381128143e-7,1.8289308704758388e-10
growth ×2,reaction rate,OK,0.0003426944196619246,1.4565170918930893e-6,0.0010164854749103516,0.009999764149396044,0.4334313095136032,6.901602232433364e-5,2.2067937218450096e-5,1.2296572524840294e-6,-3.657856536658508e-10
all rates ×0.5,reaction rate,OK,0.00038892138264655493,2.7541071415004287e-6,0.0010194530099226391,0.009999749621904282,0.4541797959146042,0.13497098913103933,0.8909272910654458,0.002920640445291701,-1.4531492252719946e-6
all rates ×2,reaction rate,OK,0.0002738794479340024,8.245378503726811e-7,0.0010117073768264092,0.009999788526289763,0.40251611308216556,-0.2007504812179266,-0.4338850873692863,-0.004699382478682655,2.437381079748643e-6
temperature=10°C,reaction rate,OK,0.00034285294183456936,1.4598264792707918e-6,0.0010164982530226018,0.009999764079737138,0.4335242868542385,0.0005316238271755092,0.0022942420349174493,1.380054810952686e-5,-7.3318404839438365e-9
temperature=30°C,reaction rate,OK,0.0003424883600368011,1.45315298426483e-6,0.0010164701703558978,0.00999976422653525,0.4333251796668027,-0.0005323180955247351,-0.002287676236674301,-1.382670474279059e-5,7.348316929165899e-9
inactivation ×0.5,PAT kinetics,OK,0.0003427433425390972,1.4732794230221793e-6,0.0010164892171471219,0.009999764067511406,0.4335377369113216,0.00021178535508214138,0.011530824773963746,4.9112065360556e-6,-8.554442576549364e-9
inactivation ×2,PAT kinetics,OK,0.00034253070671108545,1.4242907218612633e-6,0.0010164747983016074,0.009999764318633631,0.43320654136283354,-0.00040873978653114585,-0.02210405840946927,-9.273809974870328e-6,1.655837224599589e-8
bacterivory ×0.5,PAT kinetics,OK,0.0003418784379848178,2.7120534458101585e-6,0.0010184386144566839,0.009999763981413473,0.43365688854864665,-0.0023122249495056498,0.8620538751867988,0.0019226953311192985,-1.716443890096689e-8
bacterivory ×2,PAT kinetics,OK,0.0003430550559239368,8.253785436703411e-7,0.001013136665854492,0.009999764271902863,0.433268324833016,0.0011214438734935847,-0.4333078803768616,-0.003293272090588375,1.1885185174273773e-8
kPred ×0.5,PAT kinetics,OK,0.00034275156818920334,1.3049247364126574e-6,0.0010161522618174466,0.009999764182077065,0.43338637753123116,0.00023578988312760832,-0.10405889455528539,-0.00032657975160532384,2.9023935337202665e-9
kPred ×2,PAT kinetics,OK,0.0003424927198241467,1.772406538646213e-6,0.0010170312216345,0.009999764099237276,0.43349668808654357,-0.0005195951330525778,0.21690686766931108,0.0005381260603004557,-5.3817807308042956e-9
water_factor ×10,PAT kinetics,OK,0.0003432206438984871,1.4263425495505086e-6,0.000988077995594192,0.00999976413231397,0.43344986586637796,0.0016046714759068324,-0.02069530530916541,-0.027945568352948372,-2.074033302449744e-9
water_factor ×0.1,PAT kinetics,OK,0.0003426150533198192,1.4595362139527087e-6,0.0010193693498267112,0.009999764155150763,0.43342228998516125,-0.00016259504310518752,0.002094950364908543,0.002838337056934357,2.0969988073485352e-10
