run,influent_PHO,mu_PHO,d_PHO,flag,o2_max_ratio,o2_out_final,o2_min_final,pho_biofilm_mass,phib_peak
baseline,0.01,5.5,0.4,OK,1.24635963953654,0.0103236386340721,0.00705546180113806,0.294288649876698,0.332871399081709
influent_PHO_x0.1,0.001,5.5,0.4,OK,1.04963885993962,0.0092719535356094,0.00798959594678237,0.0377858516632023,0.142411789539623
influent_PHO_x0.3,0.003,5.5,0.4,OK,1.09211993108292,0.00950367836642478,0.00787065414961121,0.0999967743047411,0.176161014728668
influent_PHO_x3,0.03,5.5,0.4,OK,1.72236144484062,0.0128450065079765,0.00627310158602071,0.716141746763519,0.531214878683864
mu_PHO_x0.25,0.01,1.375,0.4,OK,1.19079101648652,0.010284610511628,0.0070404405938716,0.293134181687312,0.333659152686904
mu_PHO_x0.5,0.01,2.75,0.4,OK,1.23106862226747,0.0103156276694211,0.00705218989776359,0.293984242730331,0.333022398006788
mu_PHO_x2,0.01,11,0.4,OK,1.25334562303788,0.0103276141529904,0.00705698103240383,0.294414725180019,0.332802856120369
d_PHO_x0.5,0.01,5.5,0.2,OK,1.2034386620687,0.00988866637955036,0.00674128196513259,0.349682531445212,0.344849727977722
d_PHO_x2,0.01,5.5,0.8,OK,1.29374367886256,0.01082469441268,0.00744995051643298,0.216184720465846,0.316502031606752
d_PHO_x4,0.01,5.5,1.6,OK,1.32047609389975,0.0111675029574259,0.0077789602535226,0.132535791466097,0.30004930876338
suppressed_mild,0.003,2.75,0.8,OK,1.09467541367294,0.00965190424633569,0.00795917756469101,0.0734330444298403,0.16994905257821
suppressed_strong,0.001,1.375,1.6,OK,1.03464678780599,0.00933915826413403,0.00802873258649356,0.0157586696244661,0.142075587438801
