run,influent_PHO,mu_PHO,d_PHO,flag,o2_max_ratio,o2_out_final,o2_min_final,pho_biofilm_mass,phib_peak
baseline,0.01,5.5,0.4,OK,1.00192136055177,0.00797974850288475,0.00617356083735679,0.252051057148873,0.302329897006721
influent_PHO_x0.1,0.001,5.5,0.4,OK,1.00600287754485,0.00903584584292722,0.00791234038453584,0.0300117511201707,0.142076648916724
influent_PHO_x0.3,0.003,5.5,0.4,OK,1.00317835058603,0.00879152709421042,0.00765426110262673,0.083977429517367,0.164459343604658
influent_PHO_x3,0.03,5.5,0.4,OK,0.999999999999802,0.00594798788410538,0.00381783298942332,0.617625368857716,0.477482573733146
mu_PHO_x0.25,0.01,1.375,0.4,OK,1.00054978010945,0.00799167373351608,0.00617379161252123,0.250718330274609,0.303871197533954
mu_PHO_x0.5,0.01,2.75,0.4,OK,1.00105443382868,0.00798741154241448,0.00617374361847327,0.251190820821003,0.303317167518278
mu_PHO_x2,0.01,11,0.4,OK,1.00665817436805,0.00796719048546298,0.00617299382015769,0.253488959209015,0.300737788796083
d_PHO_x0.5,0.01,5.5,0.2,OK,1.00128472306523,0.0072958285603432,0.00577411508637511,0.296943800584985,0.309837136712288
d_PHO_x2,0.01,5.5,0.8,OK,1.03090947229179,0.00891881930128964,0.00672309654613561,0.188642753715927,0.292780738615277
d_PHO_x4,0.01,5.5,1.6,OK,1.1186007638475,0.00985624755825198,0.00727216298798231,0.119560545205479,0.284340309178331
suppressed_mild,0.003,2.75,0.8,OK,1.00929071437653,0.00908960476913583,0.00778522815924242,0.0624258704075718,0.161035267209738
suppressed_strong,0.001,1.375,1.6,OK,1.01586683269118,0.00923481288805532,0.00799631223045773,0.013815507855251,0.141975242929974
