run,influent_PHO,mu_PHO,d_PHO,flag,o2_max_ratio,o2_out_final,o2_min_final,pho_biofilm_mass,phib_peak
baseline,0.01,5.5,0.4,OK,1.07916113509402,0.00832593323232934,0.00630223347913178,0.262044320413298,0.305332886018429
influent_PHO_x0.1,0.001,5.5,0.4,OK,1.02905598667123,0.00901027589699686,0.00789035005844867,0.0332590935709471,0.142318845941968
influent_PHO_x0.3,0.003,5.5,0.4,OK,1.03425046127908,0.00882708172294002,0.00763981581170635,0.0886901291183823,0.165189584716261
influent_PHO_x3,0.03,5.5,0.4,OK,1.2990277002371,0.00721276099530558,0.00433264786140669,0.638820976234067,0.482810952074277
mu_PHO_x0.25,0.01,1.375,0.4,OK,1.00787063221105,0.0083221793938621,0.00629195499131605,0.259301892180767,0.30851852526784
mu_PHO_x0.5,0.01,2.75,0.4,OK,1.02481268429812,0.00832312776055496,0.00629823264174062,0.260724823167985,0.306695936987222
mu_PHO_x2,0.01,11,0.4,OK,1.10463745919609,0.00832588472089141,0.00630302977544222,0.262596558082308,0.304912223297085
d_PHO_x0.5,0.01,5.5,0.2,OK,1.03915115209491,0.0080067419376151,0.00604597051896794,0.315591996935954,0.318605834192933
d_PHO_x2,0.01,5.5,0.8,OK,1.14033999901683,0.00896556319418335,0.00673042253657227,0.191726956078052,0.29087544290576
d_PHO_x4,0.01,5.5,1.6,OK,1.20437643128901,0.00981560391121541,0.00724723073515299,0.120419861712392,0.281083634870829
suppressed_mild,0.003,2.75,0.8,OK,1.03992628294267,0.00906741161412052,0.00776235759454379,0.0646324054712322,0.160759012578286
suppressed_strong,0.001,1.375,1.6,OK,1.01975311897591,0.00920494886532419,0.00798399685813292,0.0140982345910003,0.14201965690155
