param,S_i,S_i_lo,S_i_hi,S_Ti,S_Ti_lo,S_Ti_hi
attach_sand,0.30247468399962946,-0.07590603130974813,0.7822345951029455,0.35430302876733,0.2396036491722643,0.47889264224846956
sand_pathogen,0.27922740246362593,-0.11250833136547617,0.9042977756517571,0.6810664953771777,0.49916849031423594,0.9401497959562676
dispersivity,-0.0019894862396088713,-0.028069284127661707,0.02942731067931872,0.004259321625136428,0.0011536573050974115,0.008356546629529142
temperature,-0.001687901342967076,-0.004679643151485956,0.00042277062395072317,3.07711252854533e-5,1.2864719751426332e-5,4.883204673744159e-5
bacterivory,-0.0006769634635947537,-0.003574484072645627,0.0018362632545615644,6.493595955940774e-5,4.083259433868696e-7,0.00012531082478157185
theta_death,-0.0004631459032896532,-0.0008982326357570003,-0.00014165394621802962,6.366593435498247e-7,3.823521804906471e-7,1.2111143343345541e-6
transport_P,0.00018530667775900277,-0.0002275825866466414,0.0006586308643937311,7.193947358900174e-7,3.88022516248873e-7,1.2454221863457537e-6
influent_PAT,-0.021258689050553,-0.052519235861788756,0.003421508734628023,0.003128705553779774,0.0018845616466268702,0.005189666552369181
